Cabinet,Latitude,Longitude,Substation
1,36.109131,29.632398,1
2,36.109131,29.632398,0
3,36.109131,29.632398,0
4,36.109131,29.632398,0
5,36.109131,29.632398,1
6,36.109131,29.632398,0
7,36.109131,29.632398,0
8,36.109131,29.632398,1
9,36.109131,29.632398,0
10,36.109131,29.632398,0
11,36.109131,29.632398,0
12,36.109131,29.632398,0
13,36.109131,29.632398,0
14,36.109131,29.632398,0
15,36.109131,29.632398,0
16,36.109131,29.632398,0
17,36.109131,29.632398,0
18,36.109131,29.632398,0
19,36.109131,29.632398,0
20,36.109131,29.632398,0
21,36.109131,29.632398,0
22,36.109131,29.632398,0
23,36.109131,29.632398,0
