SmartMeter,Timestamp,A+,A-,R+,R-,Overload,Curtailment
168,2020-04-06 13:00:00.0,1670,0,1,415,0,0
169,2020-04-06 13:00:00.0,60,0,23,417,0,0
170,2020-04-06 13:00:00.0,714,0,49,31,0,0
171,2020-04-06 13:00:00.0,834,0,72,27,0,0
172,2020-04-06 13:00:00.0,763,0,1,6,0,0
22,2020-04-06 13:00:00.0,330,0,0,79,0,0
23,2020-04-06 13:00:00.0,3529,0,644,10,1,0
24,2020-04-06 13:00:00.0,224,0,158,0,0,0
25,2020-04-06 13:00:00.0,445,0,151,1,0,0
26,2020-04-06 13:00:00.0,3585,0,53,37,1,0
27,2020-04-06 13:00:00.0,3526,0,650,0,1,1
28,2020-04-06 13:00:00.0,2129,0,0,2371,0,0
29,2020-04-06 13:00:00.0,738,0,19,21,0,0
30,2020-04-06 13:00:00.0,797,0,28,50,0,0
31,2020-04-06 13:00:00.0,111,0,140,35,0,0
32,2020-04-06 13:00:00.0,623,0,36,54,0,0
33,2020-04-06 13:00:00.0,0,414,269,1,0,0
34,2020-04-06 13:00:00.0,417,0,14,4,0,0
7,2020-04-06 13:00:00.0,263,0,66,255,0,0
8,2020-04-06 13:00:00.0,628,0,112,7,0,0
9,2020-04-06 13:00:00.0,1738,0,4,394,0,0
90,2020-04-06 13:00:00.0,1797,0,19,21,0,0
91,2020-04-06 13:00:00.0,705,0,66,42,0,0
92,2020-04-06 13:00:00.0,278,0,144,16,0,0
93,2020-04-06 13:00:00.0,426,0,69,21,0,0
94,2020-04-06 13:00:00.0,1314,0,103,29,0,0
95,2020-04-06 13:00:00.0,344,0,531,134,0,0
96,2020-04-06 13:00:00.0,911,0,289,0,0,0
97,2020-04-06 13:00:00.0,3585,0,60,73,1,1
98,2020-04-06 13:00:00.0,268,0,21,4,0,0
99,2020-04-06 13:00:00.0,1447,0,35,31,0,0
100,2020-04-06 13:00:00.0,638,0,111,5,0,0
101,2020-04-06 13:00:00.0,564,0,48,70,0,0
110,2020-04-06 13:00:00.0,3585,0,5,77,1,0
111,2020-04-06 13:00:00.0,6,0,34,36,0,0
112,2020-04-06 13:00:00.0,15,0,111,209,0,0
113,2020-04-06 13:00:00.0,3582,0,169,13,1,0
114,2020-04-06 13:00:00.0,1033,0,60,39,0,0
115,2020-04-06 13:00:00.0,168,0,55,0,0,0
116,2020-04-06 13:00:00.0,101,0,4,159,0,0
59,2020-04-06 13:00:00.0,12,0,48,45,0,0
60,2020-04-06 13:00:00.0,128,0,158,0,0,0
61,2020-04-06 13:00:00.0,930,0,28,71,0,0
62,2020-04-06 13:00:00.0,774,0,51,87,0,0
63,2020-04-06 13:00:00.0,2150,0,10,37,0,0
