SmartMeter,Latitude,Longitude,Cable
1,36.109131,29.632398,5
2,36.109131,29.632398,6
3,36.109131,29.632398,2
4,36.109131,29.632398,4
5,36.109131,29.632398,4
6,36.109131,29.632398,2
7,36.109131,29.632398,5
8,36.109131,29.632398,8
9,36.109131,29.632398,4
10,36.109131,29.632398,4
11,36.109131,29.632398,4
12,36.109131,29.632398,5
13,36.109131,29.632398,8
14,36.109131,29.632398,9
15,36.109131,29.632398,9
16,36.109131,29.632398,11
17,36.109131,29.632398,10
18,36.109131,29.632398,11
19,36.109131,29.632398,12
20,36.109131,29.632398,12
21,36.109131,29.632398,12
22,36.109131,29.632398,11
23,36.109131,29.632398,11
24,36.109131,29.632398,11
25,36.109131,29.632398,12
26,36.109131,29.632398,11
27,36.109131,29.632398,12
28,36.109131,29.632398,7
29,36.109131,29.632398,3
30,36.109131,29.632398,6
31,36.109131,29.632398,8
32,36.109131,29.632398,6
33,36.109131,29.632398,3
34,36.109131,29.632398,6
35,36.109131,29.632398,6
36,36.109131,29.632398,6
37,36.109131,29.632398,6
38,36.109131,29.632398,6
39,36.109131,29.632398,6
40,36.109131,29.632398,6
41,36.109131,29.632398,3
42,36.109131,29.632398,5
43,36.109131,29.632398,7
44,36.109131,29.632398,8
45,36.109131,29.632398,2
46,36.109131,29.632398,5
47,36.109131,29.632398,6
48,36.109131,29.632398,5
49,36.109131,29.632398,6
50,36.109131,29.632398,2
51,36.109131,29.632398,4
52,36.109131,29.632398,2
53,36.109131,29.632398,2
54,36.109131,29.632398,5
55,36.109131,29.632398,5
56,36.109131,29.632398,9
57,36.109131,29.632398,5
58,36.109131,29.632398,5
59,36.109131,29.632398,5
60,36.109131,29.632398,9
61,36.109131,29.632398,4
62,36.109131,29.632398,4
63,36.109131,29.632398,4
64,36.109131,29.632398,4
65,36.109131,29.632398,4
66,36.109131,29.632398,6
67,36.109131,29.632398,4
68,36.109131,29.632398,5
69,36.109131,29.632398,9
70,36.109131,29.632398,6
71,36.109131,29.632398,8
72,36.109131,29.632398,8
73,36.109131,29.632398,10
74,36.109131,29.632398,9
75,36.109131,29.632398,9
76,36.109131,29.632398,5
77,36.109131,29.632398,11
78,36.109131,29.632398,11
79,36.109131,29.632398,11
80,36.109131,29.632398,11
81,36.109131,29.632398,11
82,36.109131,29.632398,11
83,36.109131,29.632398,12
84,36.109131,29.632398,11
85,36.109131,29.632398,9
86,36.109131,29.632398,8
87,36.109131,29.632398,8
88,36.109131,29.632398,12
89,36.109131,29.632398,12
90,36.109131,29.632398,12
91,36.109131,29.632398,11
92,36.109131,29.632398,11
93,36.109131,29.632398,11
94,36.109131,29.632398,11
95,36.109131,29.632398,11
96,36.109131,29.632398,11
97,36.109131,29.632398,11
98,36.109131,29.632398,12
99,36.109131,29.632398,11
100,36.109131,29.632398,12
101,36.109131,29.632398,12
102,36.109131,29.632398,24
103,36.109131,29.632398,25
104,36.109131,29.632398,25
105,36.109131,29.632398,26
106,36.109131,29.632398,26
107,36.109131,29.632398,26
108,36.109131,29.632398,28
109,36.109131,29.632398,28
110,36.109131,29.632398,31
111,36.109131,29.632398,23
112,36.109131,29.632398,23
113,36.109131,29.632398,23
114,36.109131,29.632398,23
115,36.109131,29.632398,25
116,36.109131,29.632398,26
117,36.109131,29.632398,26
118,36.109131,29.632398,26
119,36.109131,29.632398,31
120,36.109131,29.632398,23
121,36.109131,29.632398,24
122,36.109131,29.632398,24
123,36.109131,29.632398,24
124,36.109131,29.632398,24
125,36.109131,29.632398,25
126,36.109131,29.632398,25
127,36.109131,29.632398,25
128,36.109131,29.632398,25
129,36.109131,29.632398,25
130,36.109131,29.632398,26
131,36.109131,29.632398,26
132,36.109131,29.632398,26
133,36.109131,29.632398,26
134,36.109131,29.632398,26
135,36.109131,29.632398,26
136,36.109131,29.632398,26
137,36.109131,29.632398,26
138,36.109131,29.632398,28
139,36.109131,29.632398,28
140,36.109131,29.632398,28
141,36.109131,29.632398,28
142,36.109131,29.632398,28
143,36.109131,29.632398,28
144,36.109131,29.632398,31
145,36.109131,29.632398,26
146,36.109131,29.632398,28
147,36.109131,29.632398,28
148,36.109131,29.632398,28
149,36.109131,29.632398,29
150,36.109131,29.632398,31
151,36.109131,29.632398,31
152,36.109131,29.632398,31
153,36.109131,29.632398,31
154,36.109131,29.632398,31
155,36.109131,29.632398,31
156,36.109131,29.632398,14
157,36.109131,29.632398,15
158,36.109131,29.632398,15
159,36.109131,29.632398,15
160,36.109131,29.632398,15
161,36.109131,29.632398,15
162,36.109131,29.632398,16
163,36.109131,29.632398,16
164,36.109131,29.632398,16
165,36.109131,29.632398,17
166,36.109131,29.632398,17
167,36.109131,29.632398,17
168,36.109131,29.632398,20
169,36.109131,29.632398,21
170,36.109131,29.632398,22
171,36.109131,29.632398,18
172,36.109131,29.632398,20
173,36.109131,29.632398,21
174,36.109131,29.632398,21
175,36.109131,29.632398,18
176,36.109131,29.632398,18
177,36.109131,29.632398,20
178,36.109131,29.632398,21
179,36.109131,29.632398,21
180,36.109131,29.632398,21
181,36.109131,29.632398,14
182,36.109131,29.632398,14
183,36.109131,29.632398,14
184,36.109131,29.632398,14
185,36.109131,29.632398,14
186,36.109131,29.632398,15
187,36.109131,29.632398,15
188,36.109131,29.632398,16
189,36.109131,29.632398,16
190,36.109131,29.632398,16
191,36.109131,29.632398,17
192,36.109131,29.632398,14
193,36.109131,29.632398,14
194,36.109131,29.632398,16
195,36.109131,29.632398,16
196,36.109131,29.632398,16
197,36.109131,29.632398,16
198,36.109131,29.632398,16
199,36.109131,29.632398,17
200,36.109131,29.632398,17
201,36.109131,29.632398,17
202,36.109131,29.632398,17
203,36.109131,29.632398,20
204,36.109131,29.632398,20
205,36.109131,29.632398,21
206,36.109131,29.632398,22
207,36.109131,29.632398,22
208,36.109131,29.632398,22
209,36.109131,29.632398,22
210,36.109131,29.632398,17
211,36.109131,29.632398,21
212,36.109131,29.632398,22
213,36.109131,29.632398,16
214,36.109131,29.632398,16
215,36.109131,29.632398,17
216,36.109131,29.632398,18
217,36.109131,29.632398,19
218,36.109131,29.632398,19
219,36.109131,29.632398,20
220,36.109131,29.632398,20
221,36.109131,29.632398,20
222,36.109131,29.632398,18
223,36.109131,29.632398,18
224,36.109131,29.632398,20
